x1,y1,z1,bp0,bp1,id,generation,length,diameter,name,InArea,OutArea,InPeri,OutPeri
184.6,154.496,105.5,14,33,29,4,17.6607,4.0452,LB1,12.852,38.8307,13.5317,22.6137
192.552,159.04,108.5,14,188,28,4,16.8538,3.75087,LB2,11.0498,35.5166,12.1769,21.3931
183.464,142.568,116,8,13,14,3,13.4556,4.96455,LB3,19.3575,49.8009,15.8281,25.1712
195.96,145.408,141,9,24,17,4,6.54254,5.02242,LB4,19.8114,49.528,16.7176,25.6136
196.528,141.432,153.5,9,15,16,4,15.8036,3.96684,LB5,12.3589,37.5923,13.0837,22.1381
180.624,177.216,141.5,6,215,11,3,6.78992,6.79704,LB6,36.2852,80.3938,21.6205,31.9834
230.04,159.608,205.5,273,280,91,4,38.6468,2.65506,LB8,5.53654,17.9873,9.74722,16.9035
205.616,171.536,191,273,276,90,4,8.82317,2.92841,LB9,6.73526,18.4686,10.997,16.8833
190.848,177.784,174.5,271,272,58,4,7.81759,4.92047,LB10,19.0153,48.9743,16.0118,25.1759
90.88,149.952,103,11,17,22,3,12.5181,3.91569,RB1,12.0422,37.0471,12.6964,21.8355
93.72,164.72,116,7,102,13,3,9.3029,5.36232,RB2,22.5837,54.8916,17.539,26.7371
88.608,142.568,115.5,11,126,23,3,10.237,4.65527,RB3,17.0208,45.8415,14.8336,24.1695
81.792,141.432,159.5,19,29,46,4,16.1411,3.46024,RB4,9.40376,30.5593,11.1613,19.7811
93.152,140.296,164,19,232,76,4,10.533,4.44124,RB5,15.4917,43.2224,14.4081,23.6205
102.808,171.536,151.5,18,28,45,3,7.45503,5.91372,RB6,27.467,62.103,19.0538,28.2908
106.216,164.72,175.5,129,139,101,4,16.2179,2.62831,RB7,5.42555,21.4696,8.94766,16.8479
89.176,168.696,177.5,132,145,145,5,10.5465,4.46172,RB8,15.6349,43.618,14.575,23.7652
91.448,174.944,180.5,133,134,155,5,9.11209,4.4866,RB9,15.8097,44.1118,14.5059,23.799
98.832,184.6,194.5,133,156,154,5,24.1207,4.52539,RB10,16.0843,44.0675,14.7372,23.8961
